"Qnum";"Question";"Answer1";"Answer2";"Answer3"
"164";"fuer eine naehrwertkennzeichnungspflicht nach dem ampelsystem gab es breite unterstuetzung von vielen organisationen aus dem verbraucherbereich und dem gesundheitsbereich";"Neutral";"Positiv";"Negativ"
"165";"herr staatssekretaer, haben sie aus der frage des kollegen michelbach und aus aeusserungen, die von anderen kollegen aus der union in den letzten wochen zu diesen grundfragen der finanzpolitik gemacht worden sind, erkennen koennen, dass die union weiss, was sie will ? .";"Neutral";"Positiv";"Negativ"
"166";"frau staatsministerin, vielen herzlichen dank fuer ih- ren bericht";"Neutral";"Positiv";"Negativ"
"167";"kaum ein wirtschaftszweig ist derart vom wetter abhaengig wie das baugewerbe";"Neutral";"Positiv";"Negativ"
"168";"dass dabei freigrenzen ueberschritten wurden, erfuhr das nmu erstmals im juni 2008 vom hmgu";"Neutral";"Positiv";"Negativ"
"169";"der ehemann kann aber darauf verweisen, dass sein geld seine sache sei";"Neutral";"Positiv";"Negativ"
"170";"das tatsaechliche renteneintrittsalter liegt unter den gesetzlichen grenzen bei rund 59 jahren";"Neutral";"Positiv";"Negativ"
"171";"aber ich will auch gleich auf die pferdefuesse zu sprechen kommen, die fuer mich eine zustimmung zu diesen antraegen ausschliessen";"Neutral";"Positiv";"Negativ"
"172";"das kann so ausgestaltet werden, dass keine steuerbelastung anfaellt";"Neutral";"Positiv";"Negativ"
"173";"es war aber nicht festgelegt, was da im einzelnen gemacht werden sollte";"Neutral";"Positiv";"Negativ"
"174";"fuer die regionalen netze werden im jahre 2001 13,5 milliarden dm an die bundeslaender gehen, die diese milliarden in regionalverkehre investieren werden";"Neutral";"Positiv";"Negativ"
"175";"ich habe damals mit herrn ullmann eine ganze reihe dinge gemeinsam gemacht";"Neutral";"Positiv";"Negativ"
"176";"- ich habe meine meinung, die sie kennen, herr duve";"Neutral";"Positiv";"Negativ"
"177";"diese frage richtet sich nicht nur an den kommissar aus portugal, sondern auch an den deutschen bundesinnenminister";"Neutral";"Positiv";"Negativ"
"178";"wichtigste gespraechspartner bei dem aufenthalt von staatssekretaer lengl im juli 1990 waren der ministerpraesident, der fuer die planungs- und die erziehungskommission zustaendigen staatsraete und die minister fuer aussenwirtschaft, fuer arbeit, fuer zivile angelegenheiten und forst sowie der gouverneur der provinz fujian und der oberbuergermeister der stadt shanghai";"Neutral";"Positiv";"Negativ"
"179";"im comic kann man wieder von vorne anfangen, in der realitaet nicht";"Neutral";"Positiv";"Negativ"
"180";"bundeskanzler schroeder sitzt oefter und laenger am gendarmenmarkt als hier im deutschen parlament";"Neutral";"Positiv";"Negativ"
"181";"ich bin deswegen sicher, dass die werften in wismar und in stralsund auch die jetzigen herausforderungen meistern werden";"Neutral";"Positiv";"Negativ"
"182";"ich bin sicher, dass im rahmen dieser prioritaetensetzung auch das auswaertige amt bemueht sein wird, dass diese probleme so weit wie moeglich geloest werden";"Neutral";"Positiv";"Negativ"
"183";"der vatikan ist im vergleich zur kulturministerkonferenz neumodisch";"Neutral";"Positiv";"Negativ"
"184";"v";"Neutral";"Positiv";"Negativ"
"185";"brasilien koennte hier ein vorbild sein";"Neutral";"Positiv";"Negativ"
"186";"jetzt moechte ich aber fortfahren";"Neutral";"Positiv";"Negativ"
"187";"wir lehnen eine solche kahlschlagpolitik ab und fordern: erstens erhaltung aller stahlstandorte";"Neutral";"Positiv";"Negativ"
"188";"lassen sie mich ein letztes sagen, und ich meine das sehr ernst: nach wie vor habe ich die grosse sorge, was wohl geschieht, wenn noch auf jahre hinaus das erlebnis demokratie fuer die polen und fuer viele andere mittel- und osteuropaeer einhergeht mit einer absenkung des lebensstandards und einer jahrelangen durststrecke der entbehrungen";"Neutral";"Positiv";"Negativ"
"189";"frau kollegin schmidt, ich beantworte die frage so, wie ich sie eben auch schon beantwortet habe: ich werde mich erkundigen, ob es solche richtlinien gibt, und werde ihnen dann davon kenntnis geben . .";"Neutral";"Positiv";"Negativ"
"190";"stattdessen sind sie seit monaten vor einer entscheidung zurueckgeschreckt und haben sich lieber von gutachten zu gutachten gehangelt";"Neutral";"Positiv";"Negativ"
"191";"wenn der bildungs-tuev eine neue aussortiermaschine und nicht ein fruehwarnsystem wird, wird sich nichts aendern";"Neutral";"Positiv";"Negativ"
"192";"der skandal ist nicht, dass eine parteispende angenommen und ordnungsgemaess deklariert worden ist, sondern der skandal ist das, was sie hier und heute praesentieren";"Neutral";"Positiv";"Negativ"
"193";"in der erkenntnis zur verfuegung stellt, dass dies ein verschiebebahnhof ist";"Neutral";"Positiv";"Negativ"
"194";"sie sind in ihrer konsequenz ein segen fuer deutschland";"Neutral";"Positiv";"Negativ"
"195";"ob es nun gelingen wird, die auftraggeber der stasi zu verurteilen, ist noch keinesfalls gewiss";"Neutral";"Positiv";"Negativ"
"196";"(ekkehard g ries [fdp]: eine gute beschleunigung";"Neutral";"Positiv";"Negativ"
"197";"fuer diejenigen, die sich nicht kurzfassen koennen oder wollen, haben derart ungehaltene reden zumindest den vorteil, dass die lektuere durchaus etwas laenger dauern darf, als die nach der geschaeftsordnung zugeteilte redezeit dies ausweist";"Neutral";"Positiv";"Negativ"
"198";"wir brauchen keinen run auf die letzten fossilen reserven";"Neutral";"Positiv";"Negativ"
"199";"ist das nicht ein etwas ungewoehnlicher weg, rechtsbedenken der bundesregierung zum ausdruck zu bringen";"Neutral";"Positiv";"Negativ"
"200";"dies in verbindung mit einem neuen einkommensteuerrecht - mit dem wegfall von vielen verguenstigungen und ausnahmetatbestaenden - gibt in der tat die moeglichkeit auch fuer die steuerverwaltung, zu einsparungen zu kommen oder sich in diesem bereich verstaerkt dem zu widmen, was ebenfalls sehr wichtig waere, naemlich regelmaessige und vernuenftige betriebspruefungen";"Neutral";"Positiv";"Negativ"
"201";"- das ist eine bizarre situation, die aber die realitaet in vielen entwicklungslaendern widerspiegelt";"Neutral";"Positiv";"Negativ"
"202";"da waere es beispielsweise moeglich, dies mit der projektfoerderung ueber einen laengerfristigen zeitraum zu verknuepfen, um das hinueberwachsen in den erstenarbeitsmarkt zu befoerdern";"Neutral";"Positiv";"Negativ"
"203";"- herr staatssekretaer, ich frage sie, ob ihnen bekannt ist, dass es einen kabinettsbeschluss der bundesregierung zu einer nationalen biodiversitaetsstrategie gibt, die zur aufgabe hat, dem natur- und artenschutz zur sicherung der lebensgrundlage der menschen in diesem land oberste prioritaet einzuraeumen";"Neutral";"Positiv";"Negativ"
"204";"die ganze welt ist voller anerkennung fuer die deutschen meister, techniker und fachwirte";"Neutral";"Positiv";"Negativ"
"205";"insbesondere das, was sie jetzt vorgelegt habe, fuehre nicht dazu, dass es mehr beschaeftigung und mehr arbeitsplaetze gebe";"Neutral";"Positiv";"Negativ"
"206";"die spd praezisierte die stiftungsidee in ihrem antrag vom oktober 1991, in dem sie die gruendung von drei unselbstaendigen stiftungen unter dem dach des bundesarchivs forderte";"Neutral";"Positiv";"Negativ"
"207";"waeren sie so freundlich, ihren koalitionspartner, den kollegen schmidt, der in den nuernberger nachrichten - man kann die zeitung ja auch nennen - als erster verkuendet hat - es war also kein wahlkampfthema";"Neutral";"Positiv";"Negativ"
"208";"nachdem uns die erste beratung dieses gesetzes vor kurzem als nacht-und-nebel-aktion zugemutet wurde, findet die abschliessende beratung nur als schlusslicht der parlamentswoche statt, sozusagen als vorweihnachtsgeschenk an den generalbundesanwalt und das bundeskriminalamt";"Neutral";"Positiv";"Negativ"
"209";"die fdp-bundestagsfraktion begruesst den gesetzentwurf als massgeblichen schritt zur vereinfachung der verbringung von ruestungsguetern und zur schaffung einheitlicher marktstandards auf dem europaeischen ruestungsmarkt";"Neutral";"Positiv";"Negativ"
"210";"denn bei dem einsatz umfangreicher investitions- und foerdermittel konnte man gefahr laufen, dass der vertrag nicht unterzeichnet wird, da sich die verhandlungen von 1995 bis 1997 hingezogen haben, vorher aber schon an den konzern gelder gezahlt worden sind";"Neutral";"Positiv";"Negativ"
"211";"sie wollen am ende - da muessen sie ganz ehrlich sein - das alte sozialistische motto durchsetzen: allen soll es gleich schlechtgehen";"Neutral";"Positiv";"Negativ"
"212";"durch aufbauhilfe ist dort eine menge geleistet worden: doerfer sind wieder aufgebaut worden, die kinder dort werden beschult, und es gibt dort keine kindersoldaten mehr";"Neutral";"Positiv";"Negativ"
"213";"ich kann es fast schon nicht mehr hoeren, dass sie von der europaeischen union immer als einer militaerunion und aehnlichem sprechen";"Neutral";"Positiv";"Negativ"
"214";"das anforderungsschreiben des generalsekretaers der vereinten nationen vom 12. ap ril 1993 beruecksichtigt diese vorgaben und verwendet dabei teilweise woertliche formulierungen aus dem deutschen angebot gemaess dem genannten kabinettbeschluss vom 17. dezember 1992. diese tatsache bewerten wir als besondere ruecksichtnahme des generalsekretaers der vereinten nationen auf deutsche belange";"Neutral";"Positiv";"Negativ"
"215";"der dritte punkt ist die haushaltskonsolidierung";"Neutral";"Positiv";"Negativ"
"216";"ich habe die frage gestellt, ob sich die kollegin darueber im klaren ist, dass die steuersystematik so ist und deswegen der weg, der jetzt offensichtlich ueber den grundfreibetrag eingeschlagen wird, ein grundverkehrter ist";"Neutral";"Positiv";"Negativ"
"217";"herr kaster, machen sie sich nicht laecherlich";"Neutral";"Positiv";"Negativ"
"218";"der gedanke zielt darauf ab, dass auch in diesem bereich deregulierung, privatisierung und wettbewerb eine immer groessere rolle spielen muessen und dass der staat, hand in hand mit der privatwirtschaft, auch entsprechende privatwirtschaftliche aktivitaeten zulassen muss . .";"Neutral";"Positiv";"Negativ"
"219";"vielen dank";"Neutral";"Positiv";"Negativ"
"220";"viele eltern empfinden es als bevormundung - auch das darf ich an dieser stelle sagen -, wenn sie feststellen, dass die lebensentscheidungen, egal wie sie ausfallen, in eine gewisse rangfolge gestellt werden, wenn sie feststellen, dass nur das eine lebensmodell politisch korrekt und zulaessig ist, ein anderes, naemlich die entscheidung, fuer eine gewisse zeit oder dauerhaft fuer kinder zu hause zu bleiben, als verzopft, laecherlich oder altmodisch dargestellt wird";"Neutral";"Positiv";"Negativ"
"221";"meine frage an sie: werden sie sich als minister fuer die neuen bundeslaender bei ihrem kollegen fuer wirtschaft dafuer einsetzen, dass die mittel fuer die deutsche zentrale fuer tourismus erhoeht werden ; denn dort werden die gelder sehr intelligent, innovativ und nachhaltig eingesetzt, vor allem fuer die maerkte osteuropas, russlands und chinas, zu denen die neuen bundeslaender traditionell gute verbindungen haben";"Neutral";"Positiv";"Negativ"
"222";"ich bitte sie sehr darum, dass wir uns in diesem punkt in den naechsten zehn oder 15 jahren - solange werden wir uns damit befassen - nicht auseinander - dividieren und nicht die eine gruppe von zuwanderern gegen die andere gruppe in der deutschen oeffentlichkeit ausspielen lassen";"Neutral";"Positiv";"Negativ"
"223";"man koennte sicher noch eine menge an motivationen nennen";"Neutral";"Positiv";"Negativ"
"224";"dies entspricht im uebrigen auch der intention des asienkonzepts der bundesregierung";"Neutral";"Positiv";"Negativ"
"225";"die weisung der ministerin muss deswegen zurueckgenommen werden, und ich schliesse mich einfach dem antrag von buendnis 90/die gruenen und spd an";"Neutral";"Positiv";"Negativ"
"226";"wir sollten die diaetendiskussion von dem trennen, was wir hier tun";"Neutral";"Positiv";"Negativ"
"227";"herr kollege schmidbauer, haben sie eigentlich die fragen ueberprueft, ob herr mauss gegen nationale strafvorschriften verstossen hat, wenn er seine aktivitaeten in fremden laendern entfaltet hat, ob sich die bundesregierung moeglicherweise dem vorwurf der beihilfe zu straftaten gegen fremdes recht aussetzt, wenn sie ihn unterstuetzt, und ob bei solchen aktivitaeten die souveraenitaet eines landes,";"Neutral";"Positiv";"Negativ"
"228";"ich haette gerne gewusst, wie viele derjenigen, die hier einwandern, tatsaechlich rentenberechtigt sind, wie viele also prozentual leistungen aus der rentenversicherung beziehen, und ob die tendenz steigend oder fallend ist . .";"Neutral";"Positiv";"Negativ"
"229";"ich will ihnen aber gern versichern, dass mir das problem bekannt ist und dass wir noch in dieser woche ausserhalb der gemeinsamen sitzung des kabinettsausschusses neue laender und der saechsischen staatsregierung mit den an dem problem beteiligten zu einem ersten gespraech zusammenkommen werden";"Neutral";"Positiv";"Negativ"
"230";"gerald thalheim, parl staatssekretaer bei der parl staatssekretaer gerald thalheim 14888 landwirtschaft: die bundesregierung - das ist auch die aussage von frau bundesministerin kuenast - hat sich bereits beim letzten agrarrat auf der europaeischen ebene dafuer eingesetzt - dies wird sie auch in zukunft tun -, dass fuer drittlandimporte der gleiche standard gilt wie fuer ware, die in deutschland hergestellt wird";"Neutral";"Positiv";"Negativ"
"231";"ich halte es fuer richtig, dass aus dem haushaltstitel der begriff „rechtsextremistisch“ gestrichen worden ist";"Neutral";"Positiv";"Negativ"
"232";"herr kollege wernitz, sie haben einerseits vom bodenschutz und andererseits vom schutz der luft gesprochen";"Neutral";"Positiv";"Negativ"
"233";"diese regelung steht auch im einklang mit art. 12 des grundgesetzes";"Neutral";"Positiv";"Negativ"
"234";"stimmen sie mir des weiteren zu, dass ihr parteikollege roland koch jetzt wohl offensichtlich nicht noch einmal den gleichen fehler machen will - zu dem ergebnis kommt man, wenn man ins wahlprogramm schaut -, naemlich in hessen studiengebuehren einzufuehren";"Neutral";"Positiv";"Negativ"
"235";"wir handeln als bundesregierung darum ganz im sinne der beschlussempfehlung des ausschusses fuer kultur und medien vom mai letzten jahres, die ich ausdruecklich unterstuetze";"Neutral";"Positiv";"Negativ"
"236";"wir sind auch stolz, dass wir beim ersten block von badenwerk und evs unterstuetzt werden";"Neutral";"Positiv";"Negativ"
"237";"warum werden jetzt nur absichtserklaerungen formuliert, denen aktuell nichts folgt, obwohl wir das wissen und auch sie der auffassung sind, dass wir nicht abwarten duerfen, bis die dinge zum problem werden";"Neutral";"Positiv";"Negativ"
"238";"die gruende fuer den zuwanderungswunsch spielen im geregelten verfahren keine rolle und werden den auslandsvertretungen von den antragstellern im allgemeinen auch nicht mitgeteilt";"Neutral";"Positiv";"Negativ"
"239";"frau staatssekretaerin, unabhaengig von der tatsache, dass mir die staatssekretaerin hendricks auf die frage, ob die steuerliche absetzbarkeit von sozialversicherungspflichtigen haushaltshilfen abgeschafft werden solle, geantwortet hat, dass die bundesregierung derartiges nicht plane, wuerde ich gerne wissen, ob sie mir darin zustimmen, dass nicht nur die tatsaechlich im haushalt beschaeftigten mit einschraenkungen rechnen muessen, sondern dass das weitere kreise zieht, naemlich dass, wenn die steuerliche absetzbarkeit von sozialversicherungspflichtig im haushalt beschaeftigten arbeitnehmerinnen und arbeitnehmern abgeschafft wird, die wahrscheinlichkeit, dass diese nicht weiterbeschaeftigt oder in anderen beschaeftigungsverhaeltnissen beschaeftigt werden, mit dem umstand kumuliert, dass in aller regel die frau, die in der zeit arbeiten geht, in der sich die haushaltshilfe um den haushalt und um die kinder kuemmert, auch nicht mehr in der lage waere, ihrer arbeit nachzugehen und damit durch ihre politik heim an den herd geschickt wuerde ? .";"Neutral";"Positiv";"Negativ"
"240";"genau das ist der inhalt des konzepts von cdu/csu";"Neutral";"Positiv";"Negativ"
"241";"ich danke fuer ihre aufmerksamkeit";"Neutral";"Positiv";"Negativ"
"242";"wenn das zeigen soll, dass sie forschung verstaatlichen, sind wir in der tat auf einem guten weg";"Neutral";"Positiv";"Negativ"
"243";"vielmehr ging es um die frage des zusammenspiels von bund und laendern im prozess der einfuehrung";"Neutral";"Positiv";"Negativ"
"244";"hintergrund der flexiblen mechanismen ist, dass es im hinblick auf den oekologischen effekt voellig egal ist, wo klimaschaedliche treibhausgase verursacht oder verringert werden";"Neutral";"Positiv";"Negativ"
"245";"denn damit sind sozusagen die hauptsignale fuer die finanzierungsvereinbarung zwischen stadt, land, bund und bahn auf gruen gestellt";"Neutral";"Positiv";"Negativ"
"246";"wir fordern des weiteren ein europaeisches bzw. moeglichst internationales akkreditierungs- und zertifizierungssystem sowie die gesetzliche verankerung eines -indikatorensystems fuer die verpflichtende unternehmensberichterstattung";"Neutral";"Positiv";"Negativ"
"247";"die europaeer haben parallel zu den amerikanischen vorstellungen eigene vorstellungen dazu entwickelt, wie man den friedensprozess foerdern kann und wie man insbesondere dann, wenn man die drogenproduktion und den drogenhandel zurueckdraengen will - das muss man ; das ist unser politisches ziel -, gleichzeitig den campesinos, den bauern, andere erwerbsquellen zur verfuegung stellen kann";"Neutral";"Positiv";"Negativ"
"248";"der bundesaussenminister hat dafuer ganz ausdruecklich die zustimmung der spd";"Neutral";"Positiv";"Negativ"
"249";"die fraktion die linke lehnt die einfuehrung von reits in deutschland ab, unter anderem - viel kann man in vier minuten nicht sagen - aus folgenden gruenden: die bundesregierung behauptet, reits seien noetig - das ist auch hier gesagt worden -, weil hohe eigenbestaende an immobilien in den deutschen unternehmen gehoben werden muessen, um ihre wettbewerbsfaehigkeit zu verbessern";"Neutral";"Positiv";"Negativ"
"250";"die gruenen sind seit jahren fuer ihre waehlerschaft mit dem ziel angetreten, die wehrpflicht abzuschaffen";"Neutral";"Positiv";"Negativ"
